单词,词频
patience,2
paths,2
patagonia,2
pasture,2
paste,2
passenger,2
parliament,2
parking,2
pamela,2
pages,2
packages,2
paabo,2
owing,2
overwork,2
overwhelmingly,2
overwhelming,2
overproduction,2
overly,2
outweigh,2
ought,2
originality,2
origin,2
oriented,2
organized,2
orbital,2
oranges,2
options,2
opsahl,2
operators,2
operation,2
operates,2
operate,2
opens,2
opened,2
oldest,2
older,2
ogbeh,2
offspring,2
offline,2
official,2
occurred,2
occupational,2
occupation,2
occasion,2
obtained,2
obstacles,2
observe,2
objects,2
obesity,2
obedient,2
oaks,2
nurse,2
numerous,2
numeracy,2
notorious,2
notion,2
notices,2
noticeable,2
notably,2
norway,2
northern,2
nominees,2
noisy,2
nino,2
nicotine,2
neuroscientist,2
networking,2
netherlands,2
nest,2
neighborhoods,2
negotiating,2
negotiate,2
neglected,2
needn,2
necessity,2
nearing,2
navy,2
nature,2
narrow,2
names,2
museums,2
motors,2
motivation,2
morocco,2
moreover,2
monument,2
monday,2
molecular,2
modem,2
mobility,2
mitigation,2
misses,2
mining,2
millions,2
mighty,2
michael,2
metropolitan,2
metrics,2
methods,2
mentioned,2
member,2
megaface,2
meet,2
medium,2
medicinal,2
medications,2
mechanical,2
measuring,2
measured,2
maxx,2
maximum,2
mathematicians,2
mathematical,2
materially,2
masterpieces,2
masterpiece,2
master,2
masses,2
massachusetts,2
mary,2
martin,2
married,2
marks,2
marketers,2
marker,2
mariani,2
maria,2
manner,2
managed,2
manage,2
male,2
majors,2
maintains,2
mahjong,2
lupyan,2
lumped,2
lull,2
lsland,2
loyalty,2
loses,2
looks,2
london,2
lock,2
locations,2
located,2
literally,2
literacy,2
lists,2
liqa,2
linked,2
limiting,2
limit,2
liked,2
lighting,2
lifespan,2
lieberman,2
length,2
legs,2
legitimate,2
legislation,2
leavers,2
learners,2
lcfi,2
lazy,2
lays,2
lawsuits,2
launching,2
launches,2
laptops,2
lamb,2
lags,2
labeled,2
kristin,2
kimura,2
kill,2
keythe,2
kevin,2
kept,2
kemelmacher,2
keith,2
keeps,2
katlyn,2
justification,2
journalist,2
joint,2
jeans,2
italian,2
irritated,2
irrelevant,2
involves,2
involvement,2
inviting,2
investors,2
inventors,2
invention,2
invented,2
intrusions,2
intrusion,2
intrude,2
intimate,2
interact,2
intentions,2
intense,2
intelligent,2
instruments,2
instructions,2
institution,2
instantly,2
instant,2
instance,2
inspired,2
insights,2
insect,2
inner,2
initiated,2
infrastructure,2
informed,2
inflexible,2
inferior,2
industrial,2
indicates,2
independently,2
independent,2
indeed,2
incorrectly,2
incorporate,2
inaccurate,2
improvements,2
impressive,2
imposed,2
imported,2
imply,2
implement,2
immediate,2
imagined,2
illness,2
illegal,2
ignored,2
identifying,2
identified,2
identical,2
idealistic,2
icebergs,2
iceberg,2
hyperactivity,2
hybrid,2
hurt,2
hunting,2
hunger,2
hundreds,2
housewife,2
household,2
hectic,2
heavily,2
heads,2
headphones,2
harsh,2
harper,2
happened,2
hands,2
hair,2
habitats,2
habitat,2
guides,2
grown,2
grounds,2
greenlist,2
grants,2
grant,2
grain,2
graduated,2
gradually,2
grader,2
governmental,2
gold,2
glasses,2
glass,2
gigawatt,2
giants,2
germany,2
german,2
geological,2
genuine,2
generates,2
generate,2
gene,2
geared,2
gathered,2
gasoline,2
gary,2
gambling,2
gale,2
futuristic,2
furthermore,2
fund,2
functional,2
function,2
fueled,2
fruits,2
fruit,2
freshwater,2
fresh,2
frequent,2
freeing,2
freedom,2
frederick,2
frantic,2
frankly,2
france,2
fraction,2
fountains,2
founded,2
forums,2
formed,2
formal,2
forces,2
footwear,2
foothold,2
foolish,2
follows,2
flying,2
flee,2
flat,2
fixed,2
fishing,2
fiscal,2
firms,2
fire,2
finds,2
financing,2
finalized,2
films,2
film,2
filed,2
figure,2
fifth,2
fiction,2
fibrosis,2
fertilizer,2
fellow,2
feels,2
federal,2
fear,2
fashionable,2
fascinating,2
farook,2
farmbots,2
fans,2
falls,2
falling,2
fake,2
fairly,2
failures,2
faculty,2
factory,2
extreme,2
extracurricular,2
external,2
extent,2
extending,2
exporting,2
explosive,2
explorers,2
explored,2
exploration,2
exploiting,2
exploited,2
explained,2
explain,2
experienced,2
expanding,2
exotic,2
existing,2
exhibits,2
exhaustion,2
exhausted,2
excited,2
excessive,2
examine,2
evolve,2
evident,2
europeans,2
estimate,2
established,2
essential,2
equity,2
equipped,2
environmentally,2
entire,2
enthusiasm,2
entered,2
enter,2
ensuring,2
ensures,2
ensure,2
enrolled,2
enrich,2
enjoyed,2
enjoyable,2
enhanced,2
engagement,2
energies,2
endless,2
encouraged,2
employer,2
employ,2
emitting,2
emerging,2
emergence,2
emails,2
eligible,2
elements,2
elections,2
elderly,2
egypt,2
economist,2
economically,2
economical,2
ecological,2
earned,2
earn,2
earliest,2
dunham,2
dubravac,2
dryad,2
dropping,2
drones,2
driverless,2
drinking,2
drilling,2
dress,2
dramatic,2
draft,2
dozens,2
downsides,2
doubtful,2
doubt,2
double,2
doorstep,2
dodge,2
dixon,2
divide,2
distributed,2
distorted,2
distinctive,2
distant,2
disruption,2
disparities,2
disorder,2
discussions,2
discourage,2
discounts,2
disconnecting,2
disciplinary,2
disaster,2
disappear,2
disagree,2
disadvantage,2
directors,2
dioxide,2
diminishing,2
digitally,2
developers,2
determined,2
determinants,2
detect,2
detailing,2
destroyed,2
designs,2
deserts,2
describes,2
described,2
describe,2
derive,2
depending,2
dependent,2
depend,2
department,2
demonstrates,2
demonstrate,2
demographic,2
delivery,2
degradation,2
defense,2
default,2
deeply,2
decrease,2
declines,2
debate,2
deals,2
dealing,2
dash,2
dark,2
daniels,2
danger,2
cutter,2
customized,2
curve,2
curran,2
curiosity,2
cultivation,2
culmination,2
cubans,2
crude,2
crowds,2
crop,2
crime,2
creators,2
crazy,2
craze,2
crash,2
craft,2
courageous,2
couple,2
corrosive,2
correlation,2
corporations,2
corporation,2
cores,2
core,2
cool,2
contributions,2
continuous,2
continues,2
contents,2
contempt,2
contained,2
consuming,2
consulting,2
construct,2
consists,2
consistent,2
considerably,2
conservancy,2
connect,2
congress,2
confusion,2
conferences,2
conference,2
condition,2
conclusive,2
conclusions,2
conclusion,2
concert,2
complications,2
completed,2
complaints,2
compete,2
compelling,2
compelled,2
comparison,2
compare,2
comparable,2
commercials,2
commerce,2
colonies,2
collegial,2
collective,2
colleague,2
collar,2
colin,2
cold,2
colas,2
cognition,2
coffee,2
codes,2
coastal,2
clubs,2
club,2
closings,2
closer,2
clearly,2
clean,2
classic,2
civilization,2
civil,2
civic,2
circulation,2
cigarette,2
chunk,2
christopher,2
chiefly,2
chess,2
cherished,2
chemist,2
check,2
cheaper,2
cheap,2
charging,2
charged,2
charge,2
channels,2
champion,2
certified,2
centralized,2
celebrate,2
caught,2
cattle,2
casing,2
cash,2
cartons,2
card,2
carbohydrates,2
carbohydrate,2
candidate,2
calculations,2
calculate,2
busyness,2
bureaucracies,2
bullying,2
budgets,2
budget,2
brought,2
broken,2
broader,2
britain,2
bristol,2
bright,2
bricks,2
breeding,2
breaks,2
breakfast,2
brands,2
brains,2
bottom,2
bots,2
bother,2
botanist,2
born,2
bonus,2
boats,2
blood,2
birth,2
biology,2
bills,2
bigger,2
benign,2
beneficial,2
bellingshausen,2
behaviour,2
behavioral,2
beaten,2
bearing,2
beard,2
battles,2
basically,2
bartram,2
barriers,2
barrels,2
bare,2
banning,2
bankruptcy,2
bacteria,2
backward,2
backgrounds,2
axis,2
automatically,2
automatic,2
authorship,2
authority,2
attract,2
attentive,2
attach,2
atlas,2
atlantic,2
atlanta,2
astronomer,2
associate,2
assigned,2
assessment,2
assessing,2
asian,2
asia,2
array,2
aristocrats,2
arise,2
argument,2
argue,2
approved,2
apply,2
applied,2
appearing,2
appearances,2
apparently,2
apparel,2
anyone,2
antibiotics,2
anti,2
annual,2
anniversary,2
anger,2
andrea,2
ancestors,2
analyzing,2
amazon,2
alternative,2
alongside,2
allows,2
align,2
algebra,2
aims,2
aimed,2
agriculture,2
agricultural,2
ages,2
agency,2
advocated,2
advisers,2
advertisements,2
advancement,2
advance,2
adopting,2
adopt,2
adding,2
addicts,2
addiction,2
addicted,2
added,2
adaptation,2
acting,2
acres,2
achieve,2
accused,2
accounted,2
accompanied,2
accessibility,2
accept,2
accelerated,2
accelerate,2
academically,2
abuse,2
abundant,2
abruptly,2
zoology,1
zohr,1
zijlstra,1
zeroth,1
zero,1
zealand,1
zanne,1
yuuji,1
youthful,1
youshould,1
youngsters,1
youngbeauty,1
yong,1
yield,1
yesterday,1
xerophyta,1
xavier,1
wrongly,1
writers,1
wrestling,1
wrestled,1
wouldn,1
worsens,1
worsening,1
worrying,1
worn,1
worldly,1
workplaces,1
workmates,1
workforce,1
workflow,1
worker,1
workday,1
workaholics,1
wore,1
wooden,1
wood,1
wonderful,1
withstand,1
withdrawssection,1
wins,1
winners,1
wings,1
wines,1
windows,1
windiest,1
winckelmann,1
willpower,1
willl,1
wilkins,1
wilder,1
wife,1
whilecelebrating,1
whichmight,1
whichcan,1
whereby,1
whenever,1
whatsoever,1
western,1
wendy,1
wellcome,1
wellbeing,1
weird,1
weighingsection,1
websites,1
website,1
weathers,1
weakening,1
weaken,1
waves,1
waterproof,1
watches,1
watchdog,1
watch,1
wastewater,1
wasted,1
wastea,1
wash,1
warranty,1
warrantsection,1
warner,1
warmer,1
wanting,1
walter,1
walnuts,1
walkability,1
wales,1
wake,1
wait,1
waged,1
vulturous,1
voyage,1
voters,1
vote,1
volunteers,1
voluntary,1
volumes,1
voices,1
vocabulary,1
vocabularies,1
vividly,1
vivid,1
vitally,1
visuals,1
visiting,1
visit,1
visibility,1
viscosa,1
virtues,1
violet,1
violentsection,1
violates,1
violated,1
villas,1
vigorous,1
videotaping,1
victorious,1
victorians,1
victorian,1
victims,1
viable,1
veteran,1
vessels,1
verbal,1
ventures,1
venter,1
venice,1
veneto,1
vegetable,1
vegas,1
variations,1
variable,1
vanishedh,1
vanguard,1
validated,1
vague,1
vaccine,1
vaccinate,1
vacancies,1
uttering,1
utilized,1
utilised,1
ussr,1
userswith,1
usefulness,1
urgent,1
urbanity,1
upwards,1
upward,1
upstream,1
upside,1
upkeep,1
uphold,1
upgrading,1
updating,1
update,1
upbringings,1
unwise,1
unwillingness,1
unwholesome,1
unwelcoming,1
unusual,1
unused,1
unsustainable,1
unsuccessful,1
unscheduled,1
unrestrained,1
unreliable,1
unregulated,1
unreasonable,1
unrealistic,1
unproductive,1
unpredictable,1
unobserved,1
unlocking,1
unlikely,1
universalg,1
universal,1
units,1
uninhabitable,1
unimportant,1
unfortunate,1
unfolding,1
unfilled,1
unfamiliar,1
unfairly,1
unfair,1
unequal,1
uneasy,1
undistracted,1
undertakessection,1
underprivileged,1
undermining,1
undermine,1
undergraduates,1
undergonef,1
undergoes,1
undergo,1
underestimates,1
underestimated,1
uncritical,1
uncovered,1
unconventional,1
uncontrollable,1
unclear,1
uncertainty,1
uncertain,1
unaware,1
unattended,1
unacceptable,1
ultra,1
tyrants,1
typicalsection,1
twentieth,1
tutoring,1
tutaabsoluta,1
tussling,1
turkey,1
turbulent,1
tunisia,1
tuned,1
tubes,1
tter,1
tryto,1
truth,1
trusted,1
trucks,1
troubles,1
trivial,1
triumph,1
trillion,1
trickery,1
treasure,1
travels,1
travelled,1
travelers,1
trap,1
transporting,1
transparency,1
transmitters,1
transmit,1
translate,1
transitionfrom,1
transit,1
transfers,1
transfer,1
trains,1
trained,1
trails,1
tragedy,1
traditions,1
tradingschemes,1
traders,1
tracks,1
toys,1
toyohashi,1
towns,1
tougher,1
totally,1
totaling,1
torpedoed,1
toother,1
tony,1
tonne,1
tonic,1
tongues,1
tones,1
tone,1
tomorrow,1
tommy,1
tomatoes,1
tomake,1
tolerate,1
tocut,1
titus,1
tips,1
tion,1
timely,1
tighter,1
ties,1
tiered,1
ticket,1
thursday,1
throws,1
throughthe,1
threshold,1
thread,1
thousand,1
thoroughness,1
thorough,1
thompson,1
thissaying,1
thirty,1
thinkers,1
thick,1
thermostats,1
thermal,1
theresults,1
thepractice,1
theplanet,1
theoretical,1
themost,1
theme,1
theglobal,1
theforeseeable,1
thedot,1
thecorresponding,1
thatsubstantial,1
thata,1
thanks,1
textures,1
texture,1
texts,1
textless,1
texting,1
tested,1
tesla,1
terry,1
terminology,1
terminalse,1
teny,1
tenfold,1
tends,1
tended,1
tenants,1
tenacity,1
tempting,1
tempted,1
temporary,1
temporarily,1
temporal,1
templeton,1
tempering,1
temper,1
tellingly,1
telescope,1
teenager,1
teen,1
teddy,1
technophobic,1
technologically,1
teapot,1
teammates,1
taylor,1
taxis,1
tasty,1
targeting,1
targeted,1
tapping,1
tangible,1
talks,1
talked,1
takersb,1
takeovers,1
tailoring,1
tags,1
tagging,1
tack,1
tables,1
systematically,1
systematic,1
syrup,1
syndrome,1
symposium,1
symbiotic,1
switzerland,1
switches,1
swimwear,1
swignley,1
swiftly,1
sweet,1
sway,1
swapping,1
swamps,1
swallows,1
svante,1
sustaining,1
sustain,1
suspicion,1
suspension,1
suspected,1
survivedd,1
surveyed,1
surrounded,1
surplus,1
surgeon,1
surged,1
surge,1
surely,1
supporting,1
supporters,1
supplements,1
supplemented,1
supplementb,1
suplejack,1
supervisor,1
supervision,1
supermarkets,1
summers,1
suitable,1
suit,1
suggestions,1
suggestion,1
suggested,1
sugary,1
sugars,1
sugar,1
suffice,1
sufferings,1
sued,1
sudden,1
successive,1
successes,1
succeeding,1
succeeded,1
succeed,1
suburbs,1
subtle,1
substitute,1
subsequently,1
subscribers,1
subscribe,1
submitted,1
subject,1
stupidity,1
stunning,1
stump,1
studyin,1
studentsfrom,1
stuck,1
stubborn,1
struggling,1
struggled,1
structure,1
strongly,1
strongest,1
strongdollar,1
stroke,1
strived,1
strive,1
strips,1
stripping,1
stripe,1
strikingly,1
strikers,1
strike,1
strengthening,1
strengthen,1
streets,1
streams,1
stratum,1
strategic,1
strapping,1
strangely,1
strange,1
stranded,1
strains,1
stowe,1
stork,1
stored,1
stops,1
stopping,1
stood,1
stockholm,1
stimulation,1
stimulating,1
stimulated,1
stimulants,1
sticks,1
steve,1
stereotypes,1
stem,1
steels,1
steal,1
steady,1
steadily,1
stays,1
statues,1
stationed,1
stated,1
startups,1
staple,1
standardizedsection,1
standardize,1
standardization,1
stamp,1
stalks,1
staked,1
staggering,1
stages,1
stage,1
staffing,1
stack,1
stacey,1
stability,1
sprout,1
spring,1
spreading,1
spontaneously,1
sponsor,1
spoken,1
spoke,1
spoiled,1
spiritual,1
spin,1
spiders,1
spicy,1
sphere,1
spends,1
spell,1
speculate,1
spectrum,1
spectators,1
specifies,1
specifications,1
specification,1
specialties,1
specially,1
specializes,1
specialized,1
special,1
speaks,1
speakers,1
sparkingh,1
spans,1
spain,1
spaghetti,1
spaceflight,1
sowing,1
soviet,1
souvenirs,1
souring,1
sourcing,1
soup,1
souls,1
sophistication,1
song,1
somewhere,1
someproblems,1
someplace,1
somehow,1
someday,1
solve,1
solitary,1
solicits,1
solely,1
sole,1
soil,1
socio,1
socialprofitability,1
socializing,1
soccer,1
snobby,1
snapping,1
snapped,1
snap,1
smugglers,1
smooth,1
smoke,1
smile,1
smartwatch,1
smartest,1
smarter,1
slums,1
slowly,1
slipped,1
slip,1
slimmer,1
slighted,1
slight,1
slice,1
slamming,1
slammed,1
skyrocketing,1
skip,1
sketches,1
skepticism,1
skates,1
sixty,1
sixth,1
sixteenth,1
sixin,1
sits,1
sister,1
sipped,1
sink,1
sinister,1
simultaneous,1
simplify,1
silvia,1
silver,1
signing,1
significantly,1
significance,1
signal,1
sightseeingc,1
sightseeing,1
sievenpiper,1
sierra,1
sided,1
sibylla,1
shut,1
shrink,1
shredded,1
showcase,1
shortened,1
shores,1
shopkeepers,1
shootingm,1
shooting,1
shooters,1
shoot,1
shook,1
shoddy,1
shipping,1
shipped,1
ship,1
shiniest,1
shifted,1
shielding,1
shielded,1
shepherds,1
shen,1
shelves,1
shelters,1
sheltering,1
shells,1
sheep,1
sheds,1
shawn,1
shaw,1
shaver,1
shat,1
sharpest,1
shark,1
shaping,1
shallows,1
shale,1
sfund,1
sewers,1
severe,1
settlings,1
settler,1
setback,1
serving,1
served,1
servant,1
sequencing,1
sequencesat,1
sequences,1
sequenced,1
sequence,1
separation,1
separating,1
seong,1
sentabtv,1
sentab,1
send,1
senator,1
senate,1
sell,1
selection,1
selected,1
seized,1
segregated,1
segments,1
sees,1
seeps,1
seemed,1
seeking,1
seeing,1
seed,1
seductively,1
securing,1
secrets,1
secretariat,1
secrecy,1
secondary,1
seawater,1
seat,1
seasons,1
seashore,1
seas,1
searching,1
sean,1
seals,1
sculpture,1
scrutiny,1
screams,1
scratching,1
scraped,1
score,1
scooping,1
scoles,1
scientifically,1
schumpeter,1
schoolmates,1
scholarships,1
scholarly,1
scholar,1
schiebinger,1
schemes,1
scheduling,1
schedule,1
scenic,1
scenario,1
scatter,1
scarcely,1
scarce,1
scanning,1
scanner,1
scandinavians,1
scandal,1
scaling,1
sawyer,1
saving,1
saved,1
satisfy,1
satisfaction,1
santa,1
sank,1
samplesthey,1
sampler,1
salvaged,1
salient,1
sale,1
salah,1
salad,1
sailed,1
saharan,1
safer,1
safely,1
sacrifices,1
sacred,1
rutgers,1
rusty,1
russell,1
rushed,1
rush,1
rule,1
ruin,1
rubber,1
rows,1
rowe,1
routines,1
routinely,1
roundtable,1
rounds,1
roulstone,1
roughly,1
rotten,1
ross,1
root,1
rooms,1
romanticism,1
rolled,1
rocked,1
rock,1
robotic,1
robinson,1
roam,1
roadway,1
roads,1
rizwan,1
rituals,1
riskier,1
risked,1
risen,1
riots,1
rigs,1
ridicule,1
richest,1
richard,1
riba,1
rhyme,1
rewarding,1
reward,1
revolved,1
revolutionizes,1
revolutionized,1
revolutionize,1
revivals,1
revival,1
revitalization,1
revitalise,1
revised,1
reverse,1
revelations,1
revealing,1
reuses,1
returns,1
retrieve,1
retraining,1
retirement,1
retire,1
rethinking,1
retaining,1
retailer,1
restraints,1
restrain,1
restore,1
restoration,1
restless,1
rested,1
restaurants,1
responsiveness,1
responsibly,1
responsibilities,1
respectively,1
respectivec,1
respectful,1
respected,1
resourcefulness,1
resort,1
resolved,1
resolution,1
resold,1
resisted,1
resignation,1
residuals,1
residence,1
reshuffled,1
reshaping,1
reserved,1
reservations,1
rescues,1
requests,1
repurposed,1
repurpose,1
republicans,1
reproductions,1
reproducible,1
representing,1
represented,1
representative,1
representations,1
reporters,1
replanting,1
replaces,1
replaced,1
replace,1
repeat,1
repayment,1
repairs,1
renowned,1
renovated,1
reno,1
renewed,1
renegotiation,1
removed,1
remotes,1
remoteness,1
remodeling,1
remind,1
remengesau,1
remembered,1
remedy,1
remarkable,1
remaining,1
relying,1
reluctantly,1
reluctant,1
relocating,1
religious,1
religion,1
relieve,1
relief,1
relentless,1
release,1
relax,1
relates,1
relate,1
regulatory,1
regulation,1
regulated,1
regret,1
regional,1
regarding,1
regard,1
refuges,1
refreshing,1
refrained,1
reforms,1
reformers,1
reformer,1
reflectnot,1
reflecting,1
reductioncommitments,1
reduction,1
reduces,1
redesign,1
recycle,1
recruitment,1
recruiting,1
recruiters,1
recreation,1
recovered,1
recordingyou,1
reconnaissance,1
recommending,1
recommended,1
recognized,1
recognitiond,1
recognise,1
reclassification,1
reckons,1
recklessness,1
recite,1
recipients,1
recipe,1
recharge,1
reception,1
receivers,1
recalled,1
recalcitrant,1
rebuild,1
reasoning,1
rear,1
reapingo,1
realizing,1
readers,1
reaction,1
react,1
reaching,1
rats,1
ratliff,1
rationally,1
rationalism,1
ration,1
rated,1
rare,1
raphael,1
rankings,1
ranking,1
ranging,1
randomness,1
rainy,1
rain,1
railway,1
rahm,1
radically,1
radical,1
radiation,1
radiating,1
racism,1
raced,1
quicker,1
quicken,1
questionnaires,1
questionnaire,1
query,1
queens,1
quarters,1
quarterly,1
quarreled,1
quarrel,1
qualified,1
qipao,1
pyramids,1
push,1
pursuing,1
pursues,1
pursue,1
pursing,1
purely,1
purchasing,1
purchased,1
punishment,1
punishing,1
punish,1
pulling,1
publishing,1
publish,1
psychiatric,1
proximately,1
proxies,1
provision,1
providescholarships,1
provider,1
proverbial,1
proud,1
proteins,1
protects,1
protections,1
prosumers,1
prosumer,1
prosperity,1
prospered,1
prospective,1
proposals,1
proper,1
proof,1
prompts,1
prompting,1
prompt,1
promotes,1
promoters,1
prominent,1
prolongs,1
prolong,1
projected,1
prohibiting,1
prohibited,1
progressin,1
profoundly,1
profound,1
proficient,1
productsd,1
productivities,1
produces,1
procured,1
procrastination,1
processor,1
probable,1
privatization,1
prioritize,1
prioritises,1
primed,1
priests,1
pricey,1
pricesremain,1
prevents,1
preventive,1
prevalent,1
prevailk,1
prevailing,1
pretended,1
presuming,1
prestige,1
presses,1
preserving,1
preserved,1
preservation,1
presentation,1
preschool,1
preparations,1
prefrontal,1
prefers,1
preferentially,1
preferences,1
preference,1
predictors,1
predictor,1
predictionsd,1
predictable,1
predatorsk,1
precision,1
precise,1
precious,1
precedent,1
practitioners,1
practicality,1
powerless,1
postpone,1
postgraduates,1
postgraduate,1
possess,1
positions,1
positioning,1
portrayed,1
portray,1
porters,1
portable,1
pornography,1
populationsc,1
populated,1
popularize,1
pools,1
polluting,1
pollutants,1
polls,1
politicians,1
politician,1
politically,1
pole,1
polar,1
poisonous,1
poisoned,1
poison,1
poised,1
points,1
pointin,1
poetry,1
pockets,1
pocket,1
plus,1
plunge,1
plumbing,1
plug,1
plots,1
pledges,1
pledged,1
pleasures,1
playsuits,1
player,1
platform,1
plates,1
plateau,1
plate,1
planets,1
plagiarism,1
placement,1
pitfalls,1
pipes,1
pipelines,1
pioneered,1
pioneer,1
pinpoint,1
pink,1
piled,1
pigs,1
picturing,1
picture,1
picking,1
physicist,1
photographs,1
photographer,1
phonec,1
philosophy,1
philanthropic,1
phasing,1
phased,1
phase,1
pests,1
perspectives,1
personalized,1
personality,1
persistently,1
persist,1
permission,1
permanently,1
perils,1
performer,1
performances,1
perfectly,1
perfected,1
perception,1
perceived,1
pepper,1
peoples,1
peninsula,1
pediatricians,1
pediatrician,1
pedestrian,1
peculiar,1
peapod,1
peacock,1
payoff,1
payloads,1
paul,1
patents,1
patent,1
passive,1
passionate,1
passion,1
passagetwenty,1
passagethe,1
passagephotography,1
passageon,1
passagefor,1
pass,1
partnering,1
partnered,1
partner,1
parties,1
participated,1
parks,1
paradox,1
paradise,1
parade,1
paperweight,1
pants,1
panini,1
panic,1
panels,1
paleo,1
palauan,1
painstaking,1
pain,1
paharia,1
packing,1
packaged,1
oxide,1
owns,1
owner,1
owned,1
owls,1
overuse,1
overtook,1
overstates,1
overshoot,1
oversharing,1
overshadowed,1
overproducing,1
overmining,1
overlooking,1
overlook,1
overhaul,1
overestimated,1
overcooked,1
overcome,1
ovens,1
outweighed,1
outsmarting,1
outsmart,1
outset,1
outs,1
output,1
outlined,1
outgrow,1
outgoing,1
outfits,1
outerwear,1
outer,1
outdoor,1
otherplaces,1
oscar,1
originator,1
originate,1
originally,1
organizer,1
ordinary,1
ordeal,1
orbits,1
optimize,1
optimistic,1
opposite,1
opposes,1
opinions,1
operator,1
openings,1
opening,1
onventional,1
onunseasonably,1
onto,1
ontario,1
onsite,1
onreducing,1
onmultidisciplinary,1
onlyc,1
ongoing,1
onequestion,1
oncarbon,1
onanswer,1
omrs,1
omits,1
olympics,1
olive,1
okay,1
oilindustry,1
oftheir,1
ofteam,1
ofsection,1
ofprices,1
ofmotivation,1
ofinteracting,1
ofgreenhouse,1
ofgalaxies,1
offtime,1
offshore,1
offices,1
offense,1
offends,1
offences,1
ofcarbon,1
ofafrican,1
odds,1
occurs,1
occurring,1
occupy,1
occupancy,1
occasionally,1
occasional,1
obviously,1
obstruction,1
obsessed,1
obsess,1
observing,1
observation,1
obscura,1
obliged,1
obligated,1
objective,1
objection,1
objected,1
obese,1
obama,1
oath,1
nutritious,1
nutritionists,1
nutrition,1
nutrients,1
nutcracker,1
nurtured,1
nursery,1
numerical,1
nudie,1
nuclear,1
nowadays,1
november,1
novelty,1
notwithstanding,1
notified,1
notifications,1
noticed,1
notice,1
notexist,1
notablyk,1
nosek,1
norwegians,1
norwegian,1
nordstrom,1
nongovernmental,1
nonetheless,1
noises,1
noblemen,1
ning,1
nights,1
nightmare,1
niece,1
nickel,1
nicholas,1
nicely,1
nice,1
newton,1
newsletter,1
newly,1
newfoundland,1
newer,1
newborn,1
nevada,1
neutrality,1
neutral,1
neuroscience,1
nesting,1
negotiations,1
negligence,1
neglect,1
negatively,1
neeru,1
needing,1
nectar,1
necessities,1
neat,1
navigational,1
navigation,1
navigates,1
navigated,1
naturalist,1
natives,1
nationwide,1
nationsb,1
nationally,1
nationality,1
narratives,1
napoleon,1
naming,1
namely,1
namedmary,1
named,1
muttering,1
musical,1
music,1
muscles,1
murderer,1
murder,1
multitudes,1
multitude,1
multiplying,1
multiply,1
multiplies,1
multiples,1
multiple,1
mtigue,1
mower,1
movies,1
moves,1
movements,1
movable,1
mounce,1
mott,1
motivating,1
motivate,1
motion,1
moths,1
moth,1
mostlyto,1
mortgage,1
mortality,1
morris,1
moreintense,1
moon,1
moody,1
moodthey,1
moods,1
monthly,1
monopolized,1
monologues,1
monitors,1
monitored,1
monetaryfund,1
mondayall,1
momentum,1
moist,1
modular,1
modify,1
modified,1
modes,1
moderated,1
modeled,1
mode,1
mobilisation,1
moan,1
misuse,1
mistrust,1
mississippi,1
miss,1
mismanagement,1
misled,1
misleading,1
misconceptions,1
misclassifies,1
minus,1
minority,1
minorities,1
ministers,1
minimizing,1
minimal,1
miniature,1
mini,1
miner,1
milestones,1
milestone,1
mild,1
migrating,1
migrate,1
midst,1
microfinance,1
microbiologist,1
michigan,1
michelle,1
mexican,1
methodology,1
methodologies,1
methodologically,1
meteorological,1
metal,1
message,1
merging,1
merge,1
mercy,1
merchant,1
mentored,1
mengs,1
memorization,1
memories,1
melting,1
melinda,1
melancholy,1
meetings,1
mediterranean,1
medals,1
meat,1
measurements,1
meant,1
meaningless,1
mcglynn,1
matured,1
mature,1
matthew,1
mates,1
maters,1
maternity,1
matchmakers,1
matched,1
masters,1
massively,1
mask,1
marybeth,1
mart,1
marshes,1
marshall,1
marriages,1
marketincentives,1
markedly,1
maritime,1
margo,1
margins,1
marginal,1
margaret,1
marchick,1
marcario,1
manufacturing,1
manufactures,1
mantarobot,1
mansion,1
manners,1
mankind,1
manipula,1
mandate,1
manchu,1
manages,1
mammal,1
malpractice,1
mallen,1
males,1
makiin,1
makeup,1
maintaining,1
mainstream,1
mail,1
maid,1
magnify,1
magnified,1
magna,1
magazines,1
magazine,1
luxury,1
lundgren,1
ludacris,1
lucky,1
luck,1
lowest,1
lowes,1
lowering,1
lowered,1
lovejoy,1
loved,1
loudly,1
loud,1
lottery,1
lost,1
losses,1
loss,1
losing,1
lord,1
loops,1
looked,1
longevity,1
longest,1
londa,1
loehr,1
localities,1
lobe,1
lobbyists,1
lobbying,1
lobbies,1
loan,1
load,1
liver,1
livelihood,1
lived,1
literature,1
literate,1
listened,1
lion,1
links,1
linkage,1
lingering,1
lincoln,1
liking,1
likewise,1
likability,1
lihotsky,1
lightbulbs,1
lifting,1
lift,1
lifespans,1
liberty,1
liable,1
lewis,1
levin,1
leverhulme,1
leverage,1
lever,1
letting,1
letters,1
lessons,1
lessen,1
leslie,1
leone,1
leibowitz,1
legally,1
legal,1
legacy,1
leftover,1
lectures,1
leathery,1
leaning,1
leafy,1
leader,1
layoffs,1
lawn,1
lawc,1
lavatories,1
laurence,1
laundry,1
laughter,1
latin,1
lasts,1
lasting,1
laptop,1
lapse,1
landscapes,1
landfills,1
landfill,1
landed,1
lament,1
